email,name
customer.service@highland.gov.uk,Highland Council
contactcentre1@hillingdon.gov.uk,Hillingdon Borough Council
highways@hounslow.gov.uk,Hounslow Borough Council
info@hullcc.gov.uk,Hull City Council
roads@inverclyde.gov.uk,Inverclyde Council
customer.service@suffolk.gov.uk,Ipswich Borough Council
pem@anglesey.gov.uk,Isle of Anglesey Council
info@islandroads.com,Isle of Wight Council
techservices@scilly.gov.uk,Isles of Scilly Council
contact@islington.gov.uk,Islington Borough Council
streetline@rbkc.gov.uk,Kensington and Chelsea Borough Council
highways@kent.gov.uk,Kent County Council
environment@rbk.kingston.gov.uk,Kingston upon Thames Borough Council
highways.ross@kirklees.gov.uk,Kirklees Borough Council
customerservices@knowsley.gov.uk,Knowsley Borough Council
streetcarecallcentre@lambeth.gov.uk,Lambeth Borough Council
highways@lancashire.gov.uk,Lancashire County Council
roads.northern@drdni.gov.uk,Larne Borough Council
highways@leeds.gov.uk,Leeds City Council
customer.services@leicester.gov.uk,Leicester City Council
customerservices@leics.gov.uk,Leicestershire County Council
envirocall@lewisham.gov.uk,Lewisham Borough Council
roads.northern@drdni.gov.uk,Limavady Borough Council
csc_hp_onlineforms@lincolnshire.gov.uk,Lincolnshire County Council
roads.eastern@drdni.gov.uk,Lisburn Borough Council
liverpool.direct@liverpool.gov.uk,Liverpool City Council
Highways@luton.gov.uk,Luton Borough Council
roads.western@drdni.gov.uk,Magherafelt District Council
contact@manchester.gov.uk,Manchester City Council
customer.first@medway.gov.uk,Medway Council
customer.care@merthyr.gov.uk,Merthyr Tydfil Council
trafficandhighways@merton.gov.uk,Merton Borough Council
envservices@middlesbrough.gov.uk,Middlesbrough Council
enquiries@midlothian.gov.uk,Midlothian Council
envservices@milton-keynes.gov.uk,Milton Keynes Council
Highways@Monmouthshire.gov.uk,Monmouthshire Council
road.maint@moray.gov.uk,Moray Council
roads.northern@drdni.gov.uk,Moyle District Council
customerservicecentre@npt.gov.uk,Neath Port Talbot Council
envirocall@newcastle.gov.uk,Newcastle upon Tyne City Council
customer.services@newham.gov.uk,Newham Borough Council
info@newport.gov.uk,Newport Council
roads.southern@drdni.gov.uk,Newry and Mourne District Council
roads.eastern@drdni.gov.uk,Newtownabbey Borough Council
information@norfolk.gov.uk,Norfolk County Council
streetdoctor@northamptonshire.gov.uk,Northamptonshire County Council
contactus@north-ayrshire.gov.uk,North Ayrshire Council
roads.eastern@drdni.gov.uk,North Down Borough Council
customerrequests@nelincs.gov.uk,North East Lincolnshire Council
roads@northlan.gov.uk,North Lanarkshire Council
customerservice@northlincs.gov.uk,North Lincolnshire Council
streetsandopenspaces@n-somerset.gov.uk,North Somerset Council
contact.us@northtyneside.gov.uk,North Tyneside Borough Council
contactcentre@northumberland.gov.uk,Northumberland County Council
customer.services@northyorks.gov.uk,North Yorkshire County Council
highways@norwich.gov.uk,Norwich City Council
highway.repairs@nottinghamcity.gov.uk,Nottingham City Council
enquiries@nottscc.gov.uk,Nottinghamshire County Council
highways@oldham.gov.uk,Oldham Borough Council
roads.western@drdni.gov.uk,Omagh District Council
customerservice@orkney.gov.uk,Orkney Islands Council
psl@pembrokeshire.gov.uk,Pembrokeshire Council
Clarence@pkc.gov.uk,Perth and Kinross Council
highways@peterborough.gov.uk,Peterborough City Council
highways@plymouth.gov.uk,Plymouth City Council
transportation@poole.gov.uk,Poole Borough Council
Cityhelpdesk@portsmouthcc.gov.uk,Portsmouth City Council
tlshelpdesk@powys.gov.uk,Powys Council
webform@reading.gov.uk,Reading Borough Council
streetscene@redbridge.gov.uk,Redbridge Borough Council
contactus@redcar-cleveland.gov.uk,Redcar and Cleveland Borough Council
customerservices.contact@renfrewshire.gov.uk,Renfrewshire Council
Customer.Services@rhondda-cynon-taff.gov.uk,Rhondda Cynon Taf Council
customer.services@richmond.gov.uk,Richmond upon Thames Borough Council
engineers@rochdale.gov.uk,Rochdale Borough Council
streetpride@rotherham.gov.uk,Rotherham Borough Council
enquiries@rutland.gov.uk,Rutland County Council
environment@salford.gov.uk,Salford City Council
environment@sandwell.gov.uk,Sandwell Borough Council
sblocal@scotborders.gov.uk,Scottish Borders Council
contact@sefton.gov.uk,Sefton Borough Council
Streetsahead@sheffield.gov.uk,Sheffield City Council
info@shetland.gov.uk,Shetland Islands Council
customer.service@shropshire.gov.uk,Shropshire Council
highways@slough.gov.uk,Slough Borough Council
connectcc@solihull.gov.uk,Solihull Borough Council
roadsandtransport@somerset.gov.uk,Somerset County Council
actionline@southampton.gov.uk,Southampton City Council
RoadsandLightingFaults@south-ayrshire.gov.uk,South Ayrshire Council
streetcare@southglos.gov.uk,South Gloucestershire Council
customer.services@southlanarkshire.gov.uk,South Lanarkshire Council
Customerhelp@southtyneside.gov.uk,South Tyneside Borough Council
environment@southwark.gov.uk,Southwark Borough Council
highways@staffordshire.gov.uk,Staffordshire County Council
customerservice@csduk.com,St Edmundsbury Borough Council
contactcentre@sthelens.gov.uk,St Helens Borough Council
info@stirling.gov.uk,Stirling Council
streetscene@stockport.gov.uk,Stockport Borough Council
technicalservices@stockton.gov.uk,Stockton-on-Tees Borough Council
enquiries@stoke.gov.uk,Stoke-on-Trent City Council
roads.western@drdni.gov.uk,Strabane District Council
customerservice@csduk.com,Suffolk County Council
highwaymaintenance@sunderland.gov.uk,Sunderland City Council
contact.centre@surreycc.gov.uk,Surrey County Council
waste.management@sutton.gov.uk,Sutton Borough Council
highways@swansea.gov.uk,Swansea Council
customerservices@swindon.gov.uk,Swindon Borough Council
customer.services@tameside.gov.uk,Tameside Borough Council
highways@telford.gov.uk,Telford and Wrekin Council
general.enquiries@thurrock.gov.uk,Thurrock Borough Council
highways@torbay.gov.uk,Torbay Borough Council
streetscene@torfaen.gov.uk,Torfaen Council
generalenquiries@towerhamlets.gov.uk,Tower Hamlets Borough Council
access.trafford@trafford.gov.uk,Trafford Borough Council
contactonevale@valeofglamorgan.gov.uk,Vale of Glamorgan Council
es-contactcentre@wakefield.gov.uk,Wakefield City Council
roadworksmanagement@walsall.gov.uk,Walsall Borough Council
wfdirect@walthamforest.gov.uk,Waltham Forest Borough Council
highways@wandsworth.gov.uk,Wandsworth Borough Council
online@warrington.gov.uk,Warrington Borough Council
feedback@warwickshire.gov.uk,Warwickshire County Council
roads@west-dunbarton.gov.uk,West Dunbartonshire Council
customer.services@westlothian.gov.uk,West Lothian Council
onestopenquiries@westminster.gov.uk,Westminster City Council
highways@westsussex.gov.uk,West Sussex County Council
Streetscene@wiganmbc.gov.uk,Wigan Borough Council
clarence@wiltshire.gov.uk,Wiltshire Council
customer.service@rbwm.gov.uk,Windsor and Maidenhead Council
streetscene@wirral.gov.uk,Wirral Borough Council
wokinghamdirect@wokingham.gov.uk,Wokingham Borough Council
city.direct@wolverhampton.gov.uk,Wolverhampton City Council
worcestershirehub@worcestershire.gov.uk,Worcestershire County Council
contact-us@wrexham.gov.uk,Wrexham Council
